Scale,Query,Dim,Mode,IC_id,EOC,WOC,CPC,FPC,TOC
100,7,4,AP Nexus,-1,504264.0,372866.0,103.0,3821210.0,877130.0
100,7,4,GP Nexus,0,14675.0,11141.0,25.0,352200.0,25816.0
100,7,4,GP Nexus,1,13990.0,8490.0,23.0,307780.0,22480.0
100,7,4,GP Nexus,2,13795.0,8259.0,21.0,275900.0,22054.0
100,7,4,GP Nexus,3,13510.0,7733.0,18.0,229670.0,21243.0
100,7,4,GP Nexus,4,10751.0,6202.0,14.0,139763.0,16953.0
100,7,4,GP Nexus,5,7360.0,4325.0,10.0,66240.0,11685.0
100,7,4,GP Nexus,6,4770.0,2871.0,10.0,42930.0,7641.0
100,7,4,GP Nexus,7,2873.0,1786.0,7.0,17238.0,4659.0
100,7,4,GP Nexus,8,1561.0,1016.0,5.0,6244.0,2577.0
100,7,4,GP Nexus,9,726.0,507.0,5.0,2904.0,1233.0
100,7,4,GP Nexus,10,260.0,205.0,5.0,1040.0,465.0
100,7,4,GP Nexus,11,56.0,55.0,4.0,168.0,111.0
100,7,4,GP Nexus,12,6.0,3.0,3.0,12.0,9.0
100,7,4,GP Nexus,13,1.0,0.0,1.0,0.0,1.0
100,7,4,GP Nexus,-1,84334.0,52593.0,151.0,1442089.0,136927.0
100,7,4,GP AdaNexus,0,897.3187893631075,3082.754899394282,24.0,20638.332155351472,3980.0736887573894
100,7,4,GP AdaNexus,1,2647.344632018953,4383.164815671715,20.0,50299.5480083601,7030.509447690667
100,7,4,GP AdaNexus,2,2712.0232078207423,4363.716888411332,18.0,46104.39453295262,7075.7400962320735
100,7,4,GP AdaNexus,3,2903.222498545009,4332.53017873936,14.0,37741.89248108512,7235.7526772843685
100,7,4,GP AdaNexus,4,2669.434854360678,3723.992125393241,13.0,32033.218252328137,6393.426979753919
100,7,4,GP AdaNexus,5,2297.2571483269917,2892.3482850947653,10.0,20675.314334942927,5189.605433421757
100,7,4,GP AdaNexus,6,1913.955768797755,2158.547761902079,10.0,17225.601919179793,4072.503530699834
100,7,4,GP AdaNexus,7,1516.8727144692666,1523.2359741601283,7.0,9101.2362868156,3040.108688629395
100,7,4,GP AdaNexus,8,1103.2024270066067,987.1904098923965,5.0,4412.809708026427,2090.392836899003
100,7,4,GP AdaNexus,9,673.5040310652536,551.6084880355801,5.0,2694.0161242610143,1225.1125191008337
100,7,4,GP AdaNexus,10,253.2434647864781,219.87417235328323,5.0,1012.9738591459125,473.1176371397613
100,7,4,GP AdaNexus,11,10.539975497418743,24.073127939657798,4.0,31.619926492256226,34.61310343707654
100,7,4,GP AdaNexus,12,159.28002317650572,18.75,3.0,318.56004635301144,178.03002317650572
100,7,4,GP AdaNexus,13,1.0,0.0,1.0,0.0,1.0
100,7,4,GP AdaNexus,-1,19758.19953523477,28261.78712698782,139.0,242289.51763529438,48019.98666222259
10,7,4,AP Nexus,0,1002.0,60.0,2.0,1002.0,1062.0
10,7,4,AP Nexus,1,26247.0,11543.0,12.0,288717.0,37790.0
10,7,4,AP Nexus,2,41165.0,29203.0,8.0,288155.0,70368.0
10,7,4,AP Nexus,3,53115.0,45558.0,8.0,371805.0,98673.0
10,7,4,AP Nexus,4,75267.0,45310.0,10.0,677403.0,120577.0
10,7,4,AP Nexus,5,67496.0,44355.0,8.0,472472.0,111851.0
10,7,4,AP Nexus,6,57955.0,42606.0,8.0,405685.0,100561.0
10,7,4,AP Nexus,7,47892.0,39775.0,8.0,335244.0,87667.0
10,7,4,AP Nexus,8,39142.0,36105.0,8.0,273994.0,75247.0
10,7,4,AP Nexus,9,31403.0,30420.0,8.0,219821.0,61823.0
10,7,4,AP Nexus,10,23596.0,22413.0,8.0,165172.0,46009.0
10,7,4,AP Nexus,11,14520.0,12316.0,7.0,87120.0,26836.0
10,7,4,AP Nexus,12,5762.0,4365.0,3.0,11524.0,10127.0
